title,winery,grape,vintage,isblend,height,min-diam,max-diam,weight,rating-spectator,rating-advocate,rating-cellar,objectid,price,color,basecolor,latitude,longitude,location,filename,type,format,subregion,region,country,rating-avg
Decoy Cabernet Sauvignon 2,Duckhorn,Cabernet Sauvignon,2019,FALSE,,,,,88,,87,DecoyCabSauvCork13, $19.99 ,,,38.5284311,-122.4915541,"Mendocino County, California, United States",DecoyCabSauvCork13_0.jpg; DecoyCabSauvCork13_1.jpg; DecoyCabSauvCork13_2.jpg; DecoyCabSauvCork13_3.jpg; DecoyCabSauvCork13_top.jpg; DecoyCabSauvCork13_base.jpg,Image;StillImage,image/jpeg,Mendocino County,California,United States,87.5
Decoy Pinot Noir,Duckhorn,Pinot Noir,2020,FALSE,,,,,87,88,87.1,DecoyPinNoirCork14, $19.99 ,,,38.5284311,-122.4915541,"Mendocino County, California, United States",DecoyPinNoirCork14_0.jpg; DecoyPinNoirCork14_1.jpg; DecoyPinNoirCork14_2.jpg; DecoyPinNoirCork14_3.jpg; DecoyPinNoirCork14_top.jpg; DecoyPinNoirCork14_base.jpg,Image;StillImage,image/jpeg,Mendocino County,California,United States,87.4
Bread and Butter Cabernet Sauvignon 1,Bread and Butter Wines,Cabernet Sauvignon,2020,FALSE,,,,,91,,84.2,BnbCabSauvCork15, $16.99 ,,,38.3485325,-122.2853538,"Napa Valley, California, United States",BnbCabSauvCork15_0.jpg; BnbCabSauvCork15_1.jpg; BnbCabSauvCork15_2.jpg; BnbCabSauvCork15_3.jpg; BnbCabSauvCork15_top.jpg; BnbCabSauvCork15_base.jpg,Image;StillImage,image/jpeg,Napa Valley,California,United States,87.6
Bread and Butter Cabernet Sauvignon 2,Bread and Butter Wines,Cabernet Sauvignon,2020,FALSE,,,,,91,,84.2,BnbCabSauvCork16, $16.99 ,,,38.3485325,-122.2853538,"Napa Valley, California, United States",BnbCabSauvCork16_0.jpg; BnbCabSauvCork16_1.jpg; BnbCabSauvCork16_2.jpg; BnbCabSauvCork16_3.jpg; BnbCabSauvCork16_top.jpg; BnbCabSauvCork16_base.jpg,Image;StillImage,image/jpeg,Napa Valley,California,United States,87.6
Bread and Butter Pinot Noir,Bread and Butter Wines,Pinot Noir,2020,FALSE,,,,,,,87,BnbPinNoirCork17, $14.99 ,,,38.3485325,-122.2853538,"Napa Valley, California, United States",BnbPinNoirCork17_0.jpg; BnbPinNoirCork17_1.jpg; BnbPinNoirCork17_2.jpg; BnbPinNoirCork17_3.jpg; BnbPinNoirCork17_top.jpg; BnbPinNoirCork17_base.jpg,Image;StillImage,image/jpeg,Napa Valley,California,United States,87.0
Substance Cabernet Sauvignon,House of Smith Wines,Cabernet Sauvignon,2019,FALSE,,,,,89,89,87.6,SubCabSauvCork18, $15.99 ,,,47.5463257,-122.3191109,"Seattle, Washington, United States",SubCabSauvCork18_0.jpg; SubCabSauvCork18_1.jpg; SubCabSauvCork18_2.jpg; SubCabSauvCork18_3.jpg; SubCabSauvCork18_top.jpg; SubCabSauvCork18_base.jpg,Image;StillImage,image/jpeg,Seattle,Washington,United States,88.5
Grayson Cellars Cabernet Sauvignon 1,Grayson Cellars,Cabernet Sauvignon,2018,FALSE,,,,,,,89,GrayCabSauvCork19, $11.99 ,,,37.9232816,-122.0742023,"California, United States",GrayCabSauvCork19_0.jpg; GrayCabSauvCork19_1.jpg; GrayCabSauvCork19_2.jpg; GrayCabSauvCork19_3.jpg; GrayCabSauvCork19_top.jpg; GrayCabSauvCork19_base.jpg,Image;StillImage,image/jpeg,,California,United States,89.0
Grayson Cellars Cabernet Sauvignon 2,Grayson Cellars,Cabernet Sauvignon,2018,FALSE,,,,,,,89,GrayCabSauvCork20, $11.99 ,,,37.9232816,-122.0742023,"California, United States",GrayCabSauvCork20_0.jpg; GrayCabSauvCork20_1.jpg; GrayCabSauvCork20_2.jpg; GrayCabSauvCork20_3.jpg; GrayCabSauvCork20_top.jpg; GrayCabSauvCork20_base.jpg,Image;StillImage,image/jpeg,,California,United States,89.0
Tedeschi San Rocco Valpolicella Ripasso,Tedeschi Wines,Corvina; Corvinone; Rondinella,2018,TRUE,,,,,90,90,88.2,TedValRipCork21, $22.99 ,,,45.7842498,10.7711122,"Verona, Veneto, Italy",TedValRipCork21_0.jpg; TedValRipCork21_1.jpg; TedValRipCork21_2.jpg; TedValRipCork21_3.jpg; TedValRipCork21_top.jpg; TedValRipCork21_base.jpg,Image;StillImage,image/jpeg,Verona,Veneto,Italy,89.4
Santa Margherita Chianti Classico Riserva,Santa Margherita,Sangiovese,2017,TRUE,,,,,,,88.8,SanMargChiantiCork22, $24.99 ,,,45.7731357,12.8984216,"Veneto, Italy",SanMargChiantiCork22_0.jpg; SanMargChiantiCork22_1.jpg; SanMargChiantiCork22_2.jpg; SanMargChiantiCork22_3.jpg; SanMargChiantiCork22_top.jpg; SanMargChiantiCork22_base.jpg,Image;StillImage,image/jpeg,,Veneto,Italy,88.8
Bosco Nestore Montepulciano d'Abruzzo,Bosco Nestore e Co.,Montepulciano,2018,FALSE,,,,,82,,,BoscoMonteCork23, $18.99 ,,,42.3474433,14.0112341,"Pescara, Abruzzo, Italy",BoscoMonteCork23_0.jpg; BoscoMonteCork23_1.jpg; BoscoMonteCork23_2.jpg; BoscoMonteCork23_3.jpg; BoscoMonteCork23_top.jpg; BoscoMonteCork23_base.jpg,Image;StillImage,image/jpeg,Pescara,Abruzzo,Italy,82.0
Liberty School Cabernet Sauvignon,Hope Family,Cabernet Sauvignon,2020,FALSE,,,,,,,85.5,LibCabSauvCork24, $17.99 ,,,35.5890592,-120.7226154,"Paso Robles, California, United States",LibCabSauvCork24_0.jpg; LibCabSauvCork24_1.jpg; LibCabSauvCork24_2.jpg; LibCabSauvCork24_3.jpg; LibCabSauvCork24_top.jpg; LibCabSauvCork24_base.jpg,Image;StillImage,image/jpeg,Paso Robles,California,United States,85.5
Federalist Cabernet Sauvignon 1,Federalist Wines,Cabernet Sauvignon,2017,FALSE,,,,,,,88,FedCabSauvCork25, $16.99 ,,,38.4601206,-122.4384741,"Central Valley, California, United States",FedCabSauvCork25_0.jpg; FedCabSauvCork25_1.jpg; FedCabSauvCork25_2.jpg; FedCabSauvCork25_3.jpg; FedCabSauvCork25_top.jpg; FedCabSauvCork25_base.jpg,Image;StillImage,image/jpeg,Central Valley,California,United States,88.0
Federalist Cabernet Sauvignon 2,Federalist Wines,Cabernet Sauvignon,2017,FALSE,,,,,,,88,FedCabSauvCork26, $16.99 ,,,38.4601206,-122.4384741,"Central Valley, California, United States",FedCabSauvCork26_0.jpg; FedCabSauvCork26_1.jpg; FedCabSauvCork26_2.jpg; FedCabSauvCork26_3.jpg; FedCabSauvCork26_top.jpg; FedCabSauvCork26_base.jpg,Image;StillImage,image/jpeg,Central Valley,California,United States,88.0
Buglioni Il Bugiardo Valpolicella Ripasso Classico,Cantina Buglioni,Corvina; Corvinone; Rondinella; Croatina; Oseleta,2018,TRUE,,,,,90,92,90,BugBugValRipCork27, $28.99 ,,,45.4962581,10.9155974,"Verona, Veneto, Italy",BugBugValRipCork27_0.jpg; BugBugValRipCork27_1.jpg; BugBugValRipCork27_2.jpg; BugBugValRipCork27_3.jpg; BugBugValRipCork27_top.jpg; BugBugValRipCork27_base.jpg,Image;StillImage,image/jpeg,Verona,Veneto,Italy,90.7
Zaccagnini Montepulciano d'Abruzzo,Cantina Zaccagnini,Montepulciano,2018,FALSE,,,,,89,,87.5,ZacMonteCork28, $18.99 ,,,42.2307078,13.953721,"Pescara, Abruzzo, Italy",ZacMonteCork28_0.jpg; ZacMonteCork28_1.jpg; ZacMonteCork28_2.jpg; ZacMonteCork28_3.jpg; ZacMonteCork28_top.jpg; ZacMonteCork28_base.jpg,Image;StillImage,image/jpeg,Pescara,Abruzzo,Italy,88.3
Unknown Prosecco Cork,Unknown,Glera,2021,FALSE,,,,,,,,UnkProCork29,,,,45.7645167,11.1050469,"Veneto, Italy",UnkProCork29_0.jpg; UnkProCork29_1.jpg; UnkProCork29_2.jpg; UnkProCork29_3.jpg; UnkProCork29_top.jpg; UnkProCork29_base.jpg,Image;StillImage,image/jpeg,,Veneto,Italy,
